Order	Score	Word	IsRandom	Ngrams
51	16.88	gwendolyn  	 	gw(4.74), we(3.00), do(2.25), ol(2.01), nd(1.62), ly(1.42), yn(1.32), en(0.53)
52	16.84	eduardo    	 	ua(4.23), du(4.04), rd(3.27), ed(2.50), do(2.25), ar(0.55)
53	16.80	griffin    	 	if(4.45), ff(4.04), fi(3.76), gr(3.00), in(0.89), ri(0.67)
54	16.76	jeffery    	 	ff(4.04), ef(3.89), fe(3.53), je(2.66), ry(1.79), er(0.84)
55	16.59	esperanza  	 	sp(4.23), nz(3.53), pe(2.84), za(2.34), es(1.86), ra(0.94), er(0.84), an(0.00)
56	16.51	yehuda     	 	eh(4.23), hu(3.76), ye(3.76), ud(3.35), da(1.43)
57	16.48	douglas    	 	gl(4.45), ou(3.76), ug(3.64), do(2.25), as(1.60), la(0.78)
58	16.48	mackenzie  	 	zi(3.76), nz(3.53), ck(2.54), ac(2.25), ke(1.88), ie(1.18), ma(0.80), en(0.53)
59	16.44	jeffrey    	 	ff(4.04), ef(3.89), fr(3.13), je(2.66), ey(1.56), re(1.16)
60	16.42	francisco  	 	sc(3.76), fr(3.13), ci(2.84), nc(2.40), co(2.15), is(1.21), ra(0.94), an(0.00)
61	16.36	enrique    	 	iq(4.45), nr(4.45), ue(3.20), qu(3.06), ri(0.67), en(0.53)
62	16.29	kingsley   	 	gs(4.74), sl(3.06), ng(2.89), ki(2.58), ey(1.56), in(0.89), le(0.58)
63	16.23	osvaldo    	 	sv(5.14), ld(3.27), os(2.47), va(2.31), do(2.25), al(0.79)
64	16.22	ignacio    	 	gn(5.14), ci(2.84), ig(2.74), io(2.54), ac(2.25), na(0.70)
65	16.20	charlotte  	 	ot(3.64), tt(2.62), rl(2.25), lo(2.03), ch(2.01), te(1.96), ha(1.14), ar(0.55)
66	16.18	remington  	 	gt(5.14), ng(2.89), em(2.20), to(1.83), mi(1.40), re(1.16), in(0.89), on(0.68)
67	16.17	yusuf      	 	uf(5.14), yu(4.74), su(3.89), us(2.40)
68	16.15	rebecca    	 	cc(4.74), eb(3.64), ec(3.35), be(1.83), ca(1.44), re(1.16)
69	16.11	gustavo    	 	vo(3.89), gu(3.53), us(2.40), av(2.31), ta(2.25), st(1.72)
70	16.09	maximus    	 	mu(4.04), xi(3.35), ax(2.84), im(2.66), us(2.40), ma(0.80)
71	16.08	maximiliano	 	xi(3.35), ax(2.84), im(2.66), no(2.43), mi(1.40), il(1.29), ma(0.80), ia(0.71), li(0.59), an(0.00)
72	16.08	crosby     	 	sb(5.14), cr(3.53), by(3.35), os(2.47), ro(1.59)
73	16.00	leighton   	 	ht(4.45), gh(3.06), ig(2.74), ei(2.66), to(1.83), on(0.68), le(0.58)
74	16.00	leighton   	 	ht(4.45), gh(3.06), ig(2.74), ei(2.66), to(1.83), on(0.68), le(0.58)
75	15.96	campbell   	 	pb(5.14), mp(4.45), be(1.83), ca(1.44), am(1.32), ll(1.26), el(0.52)
76	15.94	thaddeus   	 	eu(4.45), dd(3.35), us(2.40), th(1.86), ad(1.50), de(1.23), ha(1.14)
77	15.90	gwyneth    	 	gw(4.74), wy(4.45), et(2.22), th(1.86), yn(1.32), ne(1.30)
78	15.84	ezekiel    	 	ez(4.04), ek(3.89), ze(3.64), ki(2.58), ie(1.18), el(0.52)
79	15.80	mckinley   	 	mc(4.23), nl(3.44), ki(2.58), ck(2.54), ey(1.56), in(0.89), le(0.58)
80	15.79	mohammed   	 	oh(3.13), mm(3.06), mo(2.58), ed(2.50), me(2.05), am(1.32), ha(1.14)
81	15.69	dorothy    	 	hy(4.45), ot(3.64), do(2.25), or(1.90), th(1.86), ro(1.59)
82	15.69	memphis    	 	mp(4.45), ph(2.94), hi(2.84), em(2.20), me(2.05), is(1.21)
83	15.65	brooks     	 	ks(4.45), ok(4.23), oo(4.04), ro(1.59), br(1.35)
84	15.62	kimberly   	 	mb(4.04), im(2.66), ki(2.58), rl(2.25), be(1.83), ly(1.42), er(0.84)
85	15.60	adsfda     	*	fd(4.74), sf(4.04), ds(3.89), ad(1.50), da(1.43)
86	15.57	priscilla  	 	pr(3.76), sc(3.76), ci(2.84), il(1.29), ll(1.26), is(1.21), la(0.78), ri(0.67)
87	15.53	phoenix    	 	ix(4.04), ho(3.27), oe(3.13), ph(2.94), ni(1.62), en(0.53)
88	15.53	phoenix    	 	ix(4.04), ho(3.27), oe(3.13), ph(2.94), ni(1.62), en(0.53)
89	15.49	journee    	 	ou(3.76), rn(3.53), ur(2.84), jo(2.05), ee(2.01), ne(1.30)
90	15.41	alexzander 	 	xz(4.74), ex(3.27), za(2.34), nd(1.62), de(1.23), er(0.84), al(0.79), le(0.58), an(0.00)
91	15.32	kingston   	 	gs(4.74), ng(2.89), ki(2.58), to(1.83), st(1.72), in(0.89), on(0.68)
92	15.30	vaughn     	 	hn(3.89), ug(3.64), gh(3.06), au(2.40), va(2.31)
93	15.28	lizbeth    	 	zb(5.14), iz(3.64), et(2.22), th(1.86), be(1.83), li(0.59)
94	15.27	jaqueline  	 	aq(4.45), ue(3.20), qu(3.06), ne(1.30), ja(1.27), in(0.89), li(0.59), el(0.52)
95	15.26	francesca  	 	sc(3.76), fr(3.13), nc(2.40), es(1.86), ce(1.72), ca(1.44), ra(0.94), an(0.00)
96	15.23	lawrence   	 	wr(4.74), aw(3.89), nc(2.40), ce(1.72), re(1.16), la(0.78), en(0.53)
97	15.23	theodore   	 	od(3.13), eo(2.89), do(2.25), he(2.03), or(1.90), th(1.86), re(1.16)
